time_s,flux_mJy,flux_err_mJy,frequency_Hz,wavelength_AA,mag_AB_galcorr,mag_err,facility,filter,ab_corr,Circular
759017.0,0.007732594424618805,0.0008546379193102143,468425715625000.0,6400.0,21.679252542320498,0.12,Mondy/AZT-33IK,R,0.17868883103112015,42736.0
843934.0,0.004133569385072945,0.0008375747817294464,468425715625000.0,6400.0,22.359252542320498,0.22,Mondy/AZT-33IK,R,0.17868883103112015,42736.0
870055.0,0.004132426483582691,0.0009515263618991307,467694942277691.1,6410.0,22.35955278189334,0.25,SAO/Zeiss-1000,Rc,0.17868883103112015,42736.0
1031509.0,0.007249786747489472,0.0005341840285489614,468425715625000.0,6400.0,21.749252542320498,0.08,CrAO/ZTSh,R,0.17868883103112015,42736.0
1108449.0,0.007249786747489472,0.0006677300356862019,468425715625000.0,6400.0,21.749252542320498,0.1,Mondy/AZT-33IK,R,0.17868883103112015,42736.0
1190585.0,0.004878937244099838,0.0006740500900750643,468425715625000.0,6400.0,22.179252542320498,0.15,Mondy/AZT-33IK,R,0.17868883103112015,42736.0
1277574.0,0.004449643651156293,0.0010245683140288077,468425715625000.0,6400.0,22.2792525423205,0.25,Mondy/AZT-33IK,R,0.17868883103112015,42736.0
1303049.0,0.003599193005370759,0.000729295438165813,467694942277691.1,6410.0,22.50955278189334,0.22,SAO/Zeiss-1000,Rc,0.17868883103112015,42736.0
