time_s,flux_mJy,flux_err_mJy,frequency_Hz,wavelength_AA,mag_AB_galcorr,mag_err,n_pix,flux_err_mJy_conservative
29853.826189179632,0.21359337901968795,0.029509015829577635,335977202734506.3,8923.0,18.076096156584995,0.15,71,0.052382543691079066
33496.54391578279,0.17822384750843587,0.026092037455679735,335977202734506.3,8923.0,18.272651084753104,0.15895218354656934,215,0.04455274221614973
37583.74042884443,0.12408573927609433,0.01968004816611543,335977202734506.3,8923.0,18.66576094108932,0.17219819884211196,238,0.03192935765492579
42169.65034285822,0.09076539160459454,0.013288087035122633,335977202734506.3,8923.0,19.005264907925145,0.15895218354656934,218,0.022689708200334828
47315.12589614803,0.06424270146538122,0.012540207133312392,335977202734506.3,8923.0,19.380506134427897,0.2119362447287556,280,0.0180750619240799
53088.444423098794,0.049370163355095205,0.006820740130807387,335977202734506.3,8923.0,19.666404211763325,0.15,122,0.012107747678572044
118850.22274370141,0.016662215097389813,0.0023019700859706065,335977202734506.3,8923.0,20.845733780771972,0.15,38,0.004086312105436227
133352.14321633187,0.01585953248417099,0.0021910753847944166,335977202734506.3,8923.0,20.89933967027237,0.15,100,0.0038894588263225106
149623.56560944268,0.015346010002501917,0.0021201296321219057,335977202734506.3,8923.0,20.935076929939296,0.15,22,0.0037635204009095107
211348.90398366348,0.01639023893347312,0.0022643951903295496,335977202734506.3,8923.0,20.863602410605438,0.15,123,0.0040196115206396115
237137.37056616409,0.017796006034312372,0.0024586090925663847,335977202734506.3,8923.0,20.774259261438118,0.15,40,0.004364367790319704
