time_s,flux_mJy,flux_err_mJy,frequency_Hz,wavelength_AA,mag_AB_galcorr,mag_err,n_pix,flux_err_mJy_conservative
94.40608762859236,14.022147277834858,1.9372312376225747,393170436721311.5,7625.0,13.533029311545826,0.15,6,3.438850706866836
105.92537251772886,12.914490127781294,1.7842027471108783,393170436721311.5,7625.0,13.622372460713148,0.15,145,3.1672041824112775
118.85022274370178,12.091702597049798,1.6705304489330552,393170436721311.5,7625.0,13.693846980047006,0.15,176,2.9654202882904546
133.35214321633228,11.894330586885173,1.643262498030295,393170436721311.5,7625.0,13.711715609880471,0.15,176,2.917015941707728
149.62356560944312,11.700180266146338,1.6164396399702998,393170436721311.5,7625.0,13.729584239713935,0.15,70,2.8694016958663267
167.8804018122557,8.418670547388869,1.1630823183147379,393170436721311.5,7625.0,14.086956836383223,0.15,5,2.0646303728766315
188.36490894897963,8.418670547388869,1.1630823183147379,393170436721311.5,7625.0,14.086956836383223,0.15,64,2.0646303728766315
211.34890398366412,7.5025923660857154,1.0365214404575935,393170436721311.5,7625.0,14.212037245217473,0.15,63,1.839967485024974
237.1373705661648,6.686197291460253,0.9237322927280125,393170436721311.5,7625.0,14.337117654051724,0.15,60,1.639751303877298
266.07250597988,6.260216884569102,0.8648809246391065,393170436721311.5,7625.0,14.40859217338558,0.15,87,1.535282067153146
298.5382618917948,5.765701040762484,0.796561036027197,393170436721311.5,7625.0,14.497935322552904,0.15,84,1.4140049100005203
334.9654391578262,5.958638299797998,0.8232163034194953,393170436721311.5,7625.0,14.462198062885975,0.15,89,1.4613216594590008
375.8374042884424,5.861375866353609,0.8097790016580527,393170436721311.5,7625.0,14.480066692719438,0.15,95,1.4374686088972988
421.6965034285801,5.765701040762484,0.796561036027197,393170436721311.5,7625.0,14.497935322552904,0.15,91,1.4140049100005203
473.1512589614779,5.442971221966689,0.7519742638377648,393170436721311.5,7625.0,14.560475526970029,0.15,114,1.3348572842123325
530.8844442309852,5.31024868697305,0.7336379680029209,393170436721311.5,7625.0,14.587278471720225,0.15,112,1.3023078483636952
595.6621435290067,5.765701040762484,0.796561036027197,393170436721311.5,7625.0,14.497935322552904,0.15,105,1.4140049100005203
668.3439175686101,5.5790109784942805,0.7707688507638633,393170436721311.5,7625.0,14.533672582219832,0.15,126,1.3682202495005662
749.8942093324505,4.579180817816006,0.6326372093536451,393170436721311.5,7625.0,14.748096140221405,0.15,146,1.1230176719873335
841.3951416451887,3.884304549441088,0.5366365051315201,393170436721311.5,7625.0,14.926782438556048,0.15,117,0.9526032768637467
944.0608762859158,3.1620601304967884,0.4368547511779627,393170436721311.5,7625.0,15.150140311474352,0.15,112,0.7754770007374604
1059.25372517728,3.0849558028773276,0.4262023946550487,393170436721311.5,7625.0,15.176943256224549,0.15,109,0.7565676093095295
1188.502227437008,3.034600286506004,0.41924552297425105,393170436721311.5,7625.0,15.194811886058014,0.15,107,0.744218209489582
1333.5214321633118,3.034600286506004,0.41924552297425105,393170436721311.5,7625.0,15.194811886058014,0.15,135,0.744218209489582
1496.235656094419,2.841264641677086,0.3925352165506036,393170436721311.5,7625.0,15.26628640539187,0.15,48,0.6968037582141038
