96 configs; eps_e=0.1, xi=0.9, Gamma0=400 fixed
     E   th     n    p      eB |  F38(ssc)  boost   G38  G113 |    F0.15h  i38/uJy
 1e+53  0.1    50  2.2   1e-06 |  5.76e-15    0.0  2.06  2.06 |  8.00e-12     0.36
 1e+53  0.1    50  2.2   1e-05 |  1.63e-14    0.0  2.05  2.06 |  2.45e-11     1.37
 1e+53  0.1    50  2.2   1e-04 |  4.18e-14    0.1  2.05  2.06 |  8.45e-11     4.25
 1e+53  0.1    50  2.2   1e-03 |  9.87e-14    0.1  2.06  2.06 |  3.21e-10    11.39
 1e+53  0.1    50  2.6   1e-06 |  3.05e-15    0.2  2.09  2.12 |  7.61e-12     0.26
 1e+53  0.1    50  2.6   1e-05 |  1.02e-14    0.2  2.03  2.08 |  2.48e-11     1.44
 1e+53  0.1    50  2.6   1e-04 |  2.67e-14    0.2  1.97  2.02 |  9.54e-11     4.99
 1e+53  0.1    50  2.6   1e-03 |  5.56e-14    0.4  1.96  2.00 |  3.34e-10    12.40
 1e+53  0.1   500  2.2   1e-06 |  3.29e-15    0.0  1.95  1.96 |  7.54e-12     0.25
 1e+53  0.1   500  2.2   1e-05 |  9.05e-15    0.0  1.94  1.96 |  2.61e-11     0.76
 1e+53  0.1   500  2.2   1e-04 |  2.17e-14    0.1  1.96  1.98 |  9.91e-11     1.97
 1e+53  0.1   500  2.2   1e-03 |  4.72e-14    0.2  2.01  2.02 |  3.18e-10     4.97
 1e+53  0.1   500  2.6   1e-06 |  3.56e-15    0.2  1.81  1.89 |  6.23e-12     0.23
 1e+53  0.1   500  2.6   1e-05 |  1.29e-14    0.3  1.77  1.84 |  2.55e-11     0.79
 1e+53  0.1   500  2.6   1e-04 |  2.95e-14    0.5  1.80  1.86 |  8.67e-11     1.89
 1e+53  0.1   500  2.6   1e-03 |  4.28e-14    0.8  1.89  1.95 |  3.33e-10     3.96
 1e+53  0.3     1  2.2   1e-06 |  2.16e-14    0.2  1.98  1.99 |  5.87e-12     0.39
 1e+53  0.3     1  2.2   1e-05 |  7.19e-14    0.1  2.03  2.04 |  2.23e-11     2.08
 1e+53  0.3     1  2.2   1e-04 |  2.17e-13    0.1  2.06  2.07 |  7.51e-11     9.93
 1e+53  0.3     1  2.2   1e-03 |  5.83e-13    0.2  2.08  2.08 |  2.30e-10    39.88
 1e+53  0.3     1  2.6   1e-06 |  8.04e-15    0.6  1.99  1.98 |  5.95e-12     0.24
 1e+53  0.3     1  2.6   1e-05 |  3.66e-14    0.4  2.11  2.10 |  2.76e-11     1.76
 1e+53  0.3     1  2.6   1e-04 |  1.24e-13    0.3  2.20  2.20 |  9.80e-11    11.74
 1e+53  0.3     1  2.6   1e-03 |  2.98e-13    0.3  2.25  2.24 |  3.14e-10    56.07
