454.429,14.115,-15.973,1.35370556073992e-06,2.95840131773224e-07,-2.95840131773224e-07
481.494,17.138,-12.949,1.53240771343996e-06,3.46420786933666e-07,-3.46420786933666e-07
513.174,15.546,-14.542,1.96913836966186e-06,4.3225734231874e-07,-4.3225734231874e-07
543.085,15.723,-14.365,2.28834010445173e-06,5.14885376849235e-07,-5.14885376849235e-07
576.041,10.348,-17.233,2.57700679772991e-06,5.4099417655944e-07,-5.4099417655944e-07
600.010,13.959,-13.621,2.04984807464752e-06,4.48640062238753e-07,-4.48640062238753e-07
629.154,9.888,-15.185,2.03560921719217e-06,4.48181596578273e-07,-4.48181596578273e-07
654.166,14.963,-15.124,1.64382351418821e-06,3.71025535903452e-07,-3.71025535903452e-07
690.257,13.975,-21.127,1.59300062763637e-06,3.40590164561508e-07,-3.40590164561508e-07
721.167,18.168,-16.935,1.69362422811338e-06,3.72886465068303e-07,-3.72886465068303e-07
755.220,16.710,-15.885,2.24648360657415e-06,4.80307664397217e-07,-4.80307664397217e-07
793.289,23.773,-21.359,1.48874394605108e-06,3.34973101625982e-07,-3.34973101625982e-07
845.170,22.038,-28.108,1.00714245046954e-06,2.26611042643724e-07,-2.26611042643724e-07
879.837,14.952,-12.629,1.53855234939649e-06,3.45640397790743e-07,-3.45640397790743e-07
918.815,13.584,-24.026,1.11669778663661e-06,2.51261397325588e-07,-2.51261397325588e-07
952.353,22.670,-19.954,1.01073466817958e-06,2.2777492376516e-07,-2.2777492376516e-07
1013.817,26.396,-38.794,6.83996253555184e-07,1.54626233780895e-07,-1.54626233780895e-07
1070.422,27.459,-30.209,7.33438544527242e-07,1.64512584104072e-07,-1.64512584104072e-07
1132.484,33.095,-34.603,5.92941546738811e-07,1.33832152759183e-07,-1.33832152759183e-07
1203.641,27.128,-38.062,5.90524104340074e-07,1.32456420667676e-07,-1.32456420667676e-07
1279.116,41.917,-48.346,4.05029767913075e-07,9.17061419158329e-08,-9.17061419158329e-08
1362.483,31.262,-41.45,5.02375974468409e-07,1.1027960314048e-07,-1.1027960314048e-07
1435.146,43.848,-41.401,4.02142080120083e-07,9.07670631998323e-08,-9.07670631998323e-08
1523.623,63.185,-44.629,3.28760404121626e-07,7.42041623739317e-08,-7.42041623739317e-08
1630.696,33.839,-43.888,4.85119763759634e-07,1.06968703597872e-07,-1.06968703597872e-07
1711.160,33.609,-46.625,4.5173506626229e-07,1.02927915708376e-07,-1.02927915708376e-07
1795.890,29.113,-51.121,5.00428898037043e-07,1.10015733503877e-07,-1.10015733503877e-07
1896.802,71.107,-71.799,4.52310912965928e-07,8.10588809988696e-08,-8.10588809988696e-08
5265.222,11.406,-11.159,8.88980493195609e-06,1.96190704661886e-06,-1.96190704661886e-06
5285.725,8.454,-9.097,1.57845563546438e-05,2.84579645648988e-06,-2.84579645648988e-06
5302.828,6.395,-8.649,1.0085051402651e-05,2.2853467988342e-06,-2.2853467988342e-06
5318.794,7.981,-9.571,8.57873511281211e-06,1.83883192164182e-06,-1.83883192164182e-06
5335.422,8.903,-8.648,7.44905527399573e-06,1.67800401531199e-06,-1.67800401531199e-06
5350.831,8.539,-6.505,8.74462956685131e-06,1.92441471815334e-06,-1.92441471815334e-06
5369.896,9.531,-10.527,5.35674832638796e-06,1.20311602770562e-06,-1.20311602770562e-06
5390.708,8.778,-11.28,4.77209149110362e-06,1.04722569459612e-06,-1.04722569459612e-06
5409.303,10.242,-9.816,5.97055652842955e-06,1.22928604279156e-06,-1.22928604279156e-06
5430.140,11.971,-10.595,5.47971991746451e-06,1.17932273775504e-06,-1.17932273775504e-06
5453.391,8.779,-11.28,6.82299058456104e-06,1.46643556916502e-06,-1.46643556916502e-06
5473.344,8.884,-11.174,8.2227073299287e-06,1.70139860018045e-06,-1.70139860018045e-06
5493.387,8.899,-11.159,5.73294517501574e-06,1.26342367551589e-06,-1.26342367551589e-06
5510.491,6.840,-8.204,6.07773730201016e-06,1.30274832038286e-06,-1.30274832038286e-06
5528.162,11.733,-10.831,3.9648015682161e-06,7.51647307332683e-07,-7.51647307332683e-07
136157.868,5320.955,-6369.183,6.50533973695714e-09,1.42817892944928e-09,-1.42817892944928e-09
406140.614,87278.191,-54056.354,1.81198479562833e-09,6.48195048083805e-10,-6.48195048083805e-10
