magnitude,mag_error,wavelength,filter_width,is_upper_limit,filter_name,units,aperture_size,image_path,exposure,date_obs,cat_mag,cat_mag_err,aper_mag,aper_mag_err
17.838373441155063,0.007165563252755172,4750,1150,False,g,7DT,0.0,,300.0,,17.838373441155063,0.007165563252755172,17.838373441155063,0.007165563252755172
17.196109884881594,0.029591713789067397,7700,1000,False,i,7DT,0.0,,300.0,,17.196109884881594,0.029591713789067397,17.196109884881594,0.029591713789067397
17.708242567405968,0.04374561123222914,4000,250,False,m400,7DT,0.0,,300.0,,17.708242567405968,0.04374561123222914,17.708242567405968,0.04374561123222914
17.833396998822554,0.026710699185132383,4250,250,False,m425,7DT,0.0,,300.0,,17.833396998822554,0.026710699185132383,17.833396998822554,0.026710699185132383
17.613911147600895,0.021121808558610636,4500,250,False,m450,7DT,0.0,,300.0,,17.613911147600895,0.021121808558610636,17.613911147600895,0.021121808558610636
17.518954958034886,0.01684871039637233,4750,250,False,m475,7DT,0.0,,300.0,,17.518954958034886,0.01684871039637233,17.518954958034886,0.01684871039637233
17.52787248078953,0.022593835992351544,5000,250,False,m500,7DT,0.0,,300.0,,17.52787248078953,0.022593835992351544,17.52787248078953,0.022593835992351544
17.65027470566835,0.020603412161967895,5250,250,False,m525,7DT,0.0,,300.0,,17.65027470566835,0.020603412161967895,17.65027470566835,0.020603412161967895
17.427520357514076,0.025420780707371603,5500,250,False,m550,7DT,0.0,,300.0,,17.427520357514076,0.025420780707371603,17.427520357514076,0.025420780707371603
17.439934936707353,0.029506744289973057,5750,250,False,m575,7DT,0.0,,300.0,,17.439934936707353,0.029506744289973057,17.439934936707353,0.029506744289973057
17.45659973580874,0.04676500675522084,6000,250,False,m600,7DT,0.0,,300.0,,17.45659973580874,0.04676500675522084,17.45659973580874,0.04676500675522084
17.315176895803514,0.05022202902998668,6250,250,False,m625,7DT,0.0,,300.0,,17.315176895803514,0.05022202902998668,17.315176895803514,0.05022202902998668
17.346676602072147,0.04158905013595364,6500,250,False,m650,7DT,0.0,,300.0,,17.346676602072147,0.04158905013595364,17.346676602072147,0.04158905013595364
17.23828510307122,0.02895661057818362,6750,250,False,m675,7DT,0.0,,300.0,,17.23828510307122,0.02895661057818362,17.23828510307122,0.02895661057818362
17.00038454118649,0.03658687613312276,7000,250,False,m700,7DT,0.0,,300.0,,17.00038454118649,0.03658687613312276,17.00038454118649,0.03658687613312276
16.90171099283519,0.05198165226353844,7500,250,False,m750,7DT,0.0,,300.0,,16.90171099283519,0.05198165226353844,16.90171099283519,0.05198165226353844
17.147716002098868,0.1025817646705687,7750,250,False,m775,7DT,0.0,,300.0,,17.147716002098868,0.1025817646705687,17.147716002098868,0.1025817646705687
16.792272902451657,0.13412698538394302,8000,250,False,m800,7DT,0.0,,300.0,,16.792272902451657,0.13412698538394302,16.792272902451657,0.13412698538394302
17.513809759975796,0.26622354475460236,8250,250,False,m825,7DT,0.0,,300.0,,17.513809759975796,0.26622354475460236,17.513809759975796,0.26622354475460236
16.603778795142674,0.20721279883206759,8500,250,False,m850,7DT,0.0,,300.0,,16.603778795142674,0.20721279883206759,16.603778795142674,0.20721279883206759
17.113103785634742,0.4363770951064898,8750,250,False,m875,7DT,0.0,,300.0,,17.113103785634742,0.4363770951064898,17.113103785634742,0.4363770951064898
17.500720228332433,0.00990056809667037,6250,1150,False,r,7DT,0.0,,300.0,,17.500720228332433,0.00990056809667037,17.500720228332433,0.00990056809667037
