454.429	14.115	-15.973	1.07665009763876e-10	2.35292161011002e-11	-2.35292161011002e-11
481.494	17.138	-12.949	1.05199609417032e-10	2.37817463066367e-11	-2.37817463066367e-11
513.174	15.546	-14.542	1.14953370393215e-10	2.52341019515482e-11	-2.52341019515482e-11
543.085	15.723	-14.365	1.15659810395919e-10	2.60239048147442e-11	-2.60239048147442e-11
576.041	10.348	-17.233	1.41053393236707e-10	2.96115106844996e-11	-2.96115106844996e-11
600.010	13.959	-13.621	1.25187034949757e-10	2.73990642750448e-11	-2.73990642750448e-11
629.154	9.888	-15.185	1.33945631074684e-10	2.94909092976803e-11	-2.94909092976803e-11
654.166	14.963	-15.124	1.06858608939063e-10	2.41189350957136e-11	-2.41189350957136e-11
690.257	13.975	-21.127	1.01835032415378e-10	2.17727537872618e-11	-2.17727537872618e-11
721.167	18.168	-16.935	9.8943268371827e-11	2.17844105989047e-11	-2.17844105989047e-11
755.220	16.710	-15.885	1.1649743947273e-10	2.49076436158521e-11	-2.49076436158521e-11
793.289	23.773	-21.359	7.66552314581212e-11	1.7247721279065e-11	-1.7247721279065e-11
845.170	22.038	-28.108	6.4502038282698e-11	1.45132142340669e-11	-1.45132142340669e-11
879.837	14.952	-12.629	1.13168420451883e-10	2.54236249274732e-11	-2.54236249274732e-11
918.815	13.584	-24.026	8.200828413965e-11	1.84521867167519e-11	-1.84521867167519e-11
952.353	22.670	-19.954	7.27850455519289e-11	1.64025324585866e-11	-1.64025324585866e-11
1013.817	26.396	-38.794	4.82841991027205e-11	1.09152701050258e-11	-1.09152701050258e-11
1070.422	27.459	-30.209	5.39181839188309e-11	1.20940191006774e-11	-1.20940191006774e-11
1132.484	33.095	-34.603	4.54634055779049e-11	1.02614928465032e-11	-1.02614928465032e-11
1203.641	27.128	-38.062	4.72615746362543e-11	1.06009203780636e-11	-1.06009203780636e-11
1279.116	41.917	-48.346	3.3691417697803e-11	7.62835272246809e-12	-7.62835272246809e-12
1362.483	31.262	-41.45	4.34973500453614e-11	9.54836764584696e-12	-9.54836764584696e-12
1435.146	43.848	-41.401	3.52726608401462e-11	7.96135493890065e-12	-7.96135493890065e-12
1523.623	63.185	-44.629	2.82621760872612e-11	6.37902581067494e-12	-6.37902581067494e-12
1630.696	33.839	-43.888	4.07625499518007e-11	8.98812509697723e-12	-8.98812509697723e-12
1711.160	33.609	-46.625	3.73478468351601e-11	8.50971358665056e-12	-8.50971358665056e-12
1795.890	29.113	-51.121	4.02471650775428e-11	8.8480529498313e-12	-8.8480529498313e-12
1896.802	71.107	-71.799	3.47349731375294e-11	6.22487314221849e-12	-6.22487314221849e-12
5265.222	11.406	-11.159	2.88096991596142e-10	6.35806434728816e-11	-6.35806434728816e-11
5285.725	8.454	-9.097	5.32957759710641e-10	9.60869136874488e-11	-9.60869136874488e-11
5302.828	6.395	-8.649	3.7658674536229e-10	8.53373253775258e-11	-8.53373253775258e-11
5318.794	7.981	-9.571	3.43778444031444e-10	7.3688110023735e-11	-7.3688110023735e-11
5335.422	8.903	-8.648	3.05991552543737e-10	6.89288822452944e-11	-6.89288822452944e-11
5350.831	8.539	-6.505	3.74393046313041e-10	8.23919965038049e-11	-8.23919965038049e-11
5369.896	9.531	-10.527	2.55643335426524e-10	5.74170327757714e-11	-5.74170327757714e-11
5390.708	8.778	-11.28	2.55793495159053e-10	5.61333581178175e-11	-5.61333581178175e-11
5409.303	10.242	-9.816	2.98825439000757e-10	6.15255780002325e-11	-6.15255780002325e-11
5430.140	11.971	-10.595	2.54047062113827e-10	5.46749617358783e-11	-5.46749617358783e-11
5453.391	8.779	-11.28	2.92010784767481e-10	6.27606027086983e-11	-6.27606027086983e-11
5473.344	8.884	-11.174	3.29093524180072e-10	6.80942710110153e-11	-6.80942710110153e-11
5493.387	8.899	-11.159	2.73494422097976e-10	6.02725680172182e-11	-6.02725680172182e-11
5510.491	6.840	-8.204	3.51185757136616e-10	7.5275819358101e-11	-7.5275819358101e-11
5528.162	11.733	-10.831	2.79080016056155e-10	5.2908005354062e-11	-5.2908005354062e-11
136157.868	5320.955	-6369.183	4.0880906796671e-13	8.97497318581166e-14	-8.97497318581166e-14
406140.614	87278.191	-54056.354	1.13868890084618e-13	4.07339238506434e-14	-4.07339238506434e-14
